0.0000 0.0000
1.0000 0.0414
2.0000 0.0828
3.0000 0.1243
4.0000 0.1659
5.0000 0.2077
6.0000 0.2498
7.0000 0.2921
8.0000 0.3346
9.0000 0.3775
10.0000 0.4206
11.0000 0.4639
12.0000 0.5076
13.0000 0.5516
14.0000 0.5958
15.0000 0.6405
16.0000 0.6855
17.0000 0.7310
18.0000 0.7769
19.0000 0.8234
20.0000 0.8705
21.0000 0.9181
22.0000 0.9664
23.0000 1.0154
24.0000 1.0651
25.0000 1.1156
26.0000 1.1668
27.0000 1.2187
28.0000 1.2714
29.0000 1.3249
30.0000 1.3792
31.0000 1.4343
32.0000 1.4903
33.0000 1.5471
34.0000 1.6048
35.0000 1.6634
36.0000 1.7230
37.0000 1.7834
38.0000 1.8447
39.0000 1.9068
40.0000 1.9697
41.0000 2.0331
42.0000 2.0969
43.0000 2.1609
44.0000 2.2249
45.0000 2.2888
46.0000 2.3521
47.0000 2.4148
48.0000 2.4766
49.0000 2.5374
50.0000 2.5968
51.0000 2.6547
52.0000 2.7109
53.0000 2.7651
54.0000 2.8171
55.0000 2.8668
56.0000 2.9140
57.0000 2.9586
58.0000 3.0006
59.0000 3.0401
60.0000 3.0771
61.0000 3.1116
62.0000 3.1437
63.0000 3.1736
64.0000 3.2013
65.0000 3.2270
